taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
6065;01/12/2016 02:30:00;60;0;8;0;bankkártya;
5243;01/12/2016 09:15:00;480;0;6.75;0;készpénz;
5114;01/12/2016 09:30:00;420;0;6;2;bankkártya;
2118;01/12/2016 20:45:00;780;0;11.75;0;bankkártya;
4531;01/12/2016 21:15:00;540;0;7.25;0;készpénz;
6535;01/12/2016 21:30:00;840;0;8;0;készpénz;
710;01/12/2016 21:45:00;360;0;6.25;0;készpénz;
2643;01/12/2016 23:45:00;180;0;4.25;0;készpénz;
7939;02/12/2016 04:15:00;300;0;5.75;0;készpénz;
2863;02/12/2016 07:45:00;360;0;6.75;1;bankkártya;
5400;02/12/2016 09:30:00;780;0;9.25;0;készpénz;
6197;02/12/2016 13:30:00;60;0;3.25;0;készpénz;
4044;02/12/2016 13:45:00;960;0;11;0;készpénz;
1026;02/12/2016 15:45:00;300;0;5.5;0;készpénz;
3773;02/12/2016 16:00:00;420;0;6;0;készpénz;
569;02/12/2016 17:00:00;180;0;4.5;2;bankkártya;
6078;02/12/2016 17:00:00;540;0;7;2;bankkártya;
3449;02/12/2016 17:15:00;60;0;3.25;0;készpénz;
4611;02/12/2016 19:00:00;600;0;7.5;0;készpénz;
6562;02/12/2016 20:00:00;240;0;5.25;0;készpénz;
1901;02/12/2016 21:45:00;60;0;3.25;0;készpénz;
1322;02/12/2016 23:15:00;600;0;8;2;bankkártya;
5628;03/12/2016 00:30:00;420;0;6.75;0;készpénz;
3163;03/12/2016 00:45:00;420;0;10.25;0;készpénz;
5857;03/12/2016 02:00:00;540;0;8;0;készpénz;
8709;03/12/2016 08:30:00;180;0;5.25;0;készpénz;
8117;03/12/2016 14:45:00;420;0;6.5;1;bankkártya;
1827;03/12/2016 15:45:00;360;0;6.25;0;készpénz;
7011;03/12/2016 16:30:00;1260;0;13.75;0;készpénz;
6898;03/12/2016 19:00:00;1980;0;16.5;0;készpénz;
4770;03/12/2016 19:15:00;900;0;14.25;0;készpénz;
3793;03/12/2016 20:00:00;1200;0;13.75;0;készpénz;
2697;03/12/2016 21:45:00;180;0;4;0;készpénz;
3360;04/12/2016 01:00:00;240;0;4.75;0;készpénz;
5659;04/12/2016 02:00:00;120;0;4.75;0;készpénz;
1523;04/12/2016 02:00:00;300;0;3.5;0;készpénz;
686;04/12/2016 14:30:00;120;0;4;1;bankkártya;
1098;04/12/2016 15:45:00;600;0;9.5;0;készpénz;
3637;04/12/2016 19:15:00;300;0;5.5;0;készpénz;
1319;04/12/2016 19:30:00;600;0;8;0;készpénz;
7748;04/12/2016 20:15:00;180;0;5.5;1;bankkártya;
5901;05/12/2016 06:45:00;660;0;13.75;3.4;bankkártya;
1901;05/12/2016 09:00:00;240;0;4.75;0;készpénz;
1030;05/12/2016 09:30:00;180;0;4.75;2;bankkártya;
3721;05/12/2016 14:45:00;240;0;4.75;0;készpénz;
8289;05/12/2016 21:00:00;780;0;12.25;0;ingyenes;
2330;06/12/2016 09:00:00;360;0;5.5;0;készpénz;
197;06/12/2016 10:30:00;840;0;9;0;készpénz;
4702;06/12/2016 15:00:00;360;0;6.25;1;bankkártya;
3267;06/12/2016 17:45:00;420;0;6.25;2;bankkártya;
5796;06/12/2016 18:45:00;720;0;8.5;2;bankkártya;
7596;06/12/2016 19:30:00;2520;0;50.25;12.45;bankkártya;
772;06/12/2016 19:45:00;21;0;3.25;0;bankkártya;
2901;06/12/2016 20:45:00;1200;0;27.5;8.25;bankkártya;
4576;07/12/2016 00:45:00;240;0;5.75;3;bankkártya;
3465;07/12/2016 09:45:00;1020;0;11;2.2;bankkártya;
5475;07/12/2016 10:45:00;240;0;5.25;0;készpénz;
4849;07/12/2016 12:00:00;60;0;3.25;0;készpénz;
